Разминаем шею вперед назад,8
Разминаем шею влево вправо,8
вращение плечами,8
В другую сторону,8
Вращение прямыми руками вперед,8
Назад,8
В разные стороны,8
В другую сторону,8
Тянемся к потолку руками,8
выпрыгиваем,10
разогреваем кисти,10
выпрыгиваем,8
выворот кистей,30
тайм аут,10
Садимся на попу. Ноги врозь. Наклоны вперед,10
Влево,10
Вправо,10
Вперед,10
Поднимаем правую ногу,5
Поднимаем левую ногу,5
Обе ноги руки спереди,5
Отрываем попу руки спереди,5
тайм аут,15
уголок ноги вместе первый подход,8
тайм аут,10
уголок ноги вместе второй подход,7
тайм аут,10
уголок ноги вместе третий подход,6
подъемы попы вверх по столу,10
тайм аут перед уголок врозь,10
уголок ноги врозь первый подход,8
тайм аут,10
уголок ноги врозь второй подход,6
тайм аут,10
уголок ноги врозь третий подход,5
тайм аут перед стойкой,10
Руки на пол. Перемена ног через стойку,20
Садимся в позу война. Руки у коленок. Опираемся на кулачки ступней. Выходим в стойку в группировке,20
Стойка животом к стене. Не близко к стене. Сгибаем ноги в группировку и обратно,20
тайм аут,10
Стойка животом к стене. Не близко к стене. Жеские прямые ноги поочередно отпускаем от стены не за корпус,20
тайм аут,10
Стойка животом к стене. Близко к стене. Голову в стену. Полностью прижимаемся к стене,20
тайм аут,10
Стойка животом к стене. Близко к стене. Опускаем одну прямую ногу. Через лягушку поднимаем назад,20
тайм аут перед скадкой,10
подъемы ног в скадке первый подход,10
скадка,10
подъемы ног в скадке второй подход,8
скадка,10
подъемы ног в скадке третий подход,6
скадка,30
тайм аут перед отжиманием,10
отжимания,8
планка,15
ложимся на живот лодочку держим,8
тайм аут,10
отжимания,6
планка,10
ложимся на живот лодочку держим,8
тайм аут,10
отжимания,4
планка,5
ложимся на живот лодочку держим,8
поза рака с прямыми ногами,10
поза рака с согнутыми ногами,10
Тайм аут. Возьми коврик. Перед складкой,5
складка на пресс,10
поза эмбриона,30
